general/name_eng,general/name_kaz,general/name_ru,general/class_eng,general/class_ru,general/class_kaz,general/_group,PD_ru,PK_ru,indications,side_effects_ru,contraindications_ru,pregnancy,liver_disorders_ru,kidneys_disorders_ru,children_ru,elders_ru,notice,_id,overdose_ru
azithromycin,азитромицин,азитромицин,macrolides-azalides,макролиды-азалиды,макролидтер мен азалидтер,"ATC J01FA10, S01AA26","Антибактериальный препарат широкого спектра действия из группы макролидов-азалидов, действует бактериостатически. Связываясь с 50S-субъединицей рибосом, он ингибирует пептидтранслязу на стадии трансляции, подавляет синтез белка, замедляет рост и размножение бактерий и оказывает бактерицидное действие в высоких концентрациях. Он действует на внеклеточно и внутриклеточно расположенные патогены.
      Микроорганизмы могут быть изначально устойчивы к действию антибиотика или могут приобрести устойчивость к нему.","После приема внутрь азитромицин хорошо всасывается и быстро распределяется в организме. После однократного приема в дозе 500 мг биодоступность составляет 37% за счет эффекта ""первого прохождения"" через печень. Cmax в плазме крови достигается через 2-3 ч и составляет 0.4 мг/л.
      Связывание с белками обратно пропорционально концентрации в плазме крови и составляет 7-50%. Кажущийся Vd составляет 31.1 л/кг. Проникает через мембраны клеток (эффективен при инфекциях, вызванных внутриклеточными возбудителями). Транспортируется фагоцитами к месту инфекции, где высвобождается в присутствии бактерий. Легко проникает через гистогематические барьеры и поступает в ткани. Концентрация в тканях и клетках в 10-50 раз выше, чем в плазме, а в очаге инфекции - на 24-34% больше, чем в здоровых тканях.
      Азитромицин метаболизируется в печени. Метаболиты не обладают противомикробной активностью.
      T1/2 очень длинный - 35-50 ч. T1/2 из тканей значительно больше. Терапевтическая концентрация азитромицина сохраняется до 5-7 дней после приема последней дозы. Азитромицин выводится, в основном, в неизмененном виде - 50% через кишечник, 6% почками.","Инфекционно-воспалительные заболевания, вызванные чувствительными к азитромицину микроорганизмами: инфекции верхних отделов дыхательных путей и ЛОР-органов (синусит, тонзиллит, фарингит, средний отит); инфекции нижних отделов дыхательных путей (острый бронхит, обострение хронического бронхита, пневмония, в т.ч. вызванная атипичными возбудителями); инфекции кожи и мягких тканей (угри обыкновенные средней степени тяжести, рожа, импетиго, вторично инфицированные дерматозы); неосложненные инфекции мочеполовых путей, вызванные Chlamydia trachomatis (уретрит и/или цервицит); начальная стадия болезни Лайма (боррелиоз) - мигрирующая эритема (erythema migrans).","Со стороны системы кроветворения: нечасто - лейкопения, нейтропения, эозинофилия; очень редко - тромбоцитопения, гемолитическая анемия.
      Аллергические реакции: редко - кожная сыпь, ангионевротический отек и анафилаксия (в редких случаях с летальным исходом) многоформная эритема, лекарственная сыпь с эозинофилией и системными проявлениями (DRESS-синдром). Некоторые из таких реакций, развившихся при применении азитромицина, приобретали рецидивирующее течение и требовали продолжительного лечения и наблюдения.
      Со стороны кожи и подкожных тканей: нечасто - кожная сыпь, зуд, крапивница, дерматит, сухость кожи, потливость; редко - реакция фотосенсибилизации; частота неизвестна - синдром Стивенса-Джонсона, токсический эпидермальный некролиз, многоформная эритема.
      Со стороны нервной системы: часто - головная боль; нечасто - головокружение, нарушение вкусовых ощущений, парестезия, сонливость, бессонница, нервозность; редко - ажитация; частота неизвестна - гипестезия, тревога, агрессия, обморок, судороги, психомоторная гиперактивность, потеря обоняния, извращение обоняния, потеря вкусовых ощущений, миастения, бред, галлюцинации.
      Со стороны органа зрения: нечасто - нарушение зрения.
      Со стороны органа слуха и лабиринтные нарушения: нечасто - расстройство слуха, вертиго; частота неизвестна - нарушение слуха вплоть до глухоты и/или шум в ушах.
      Со стороны сердечно-сосудистой системы: нечасто - ощущение сердцебиения, приливы крови к лицу; частота неизвестна - снижение АД, увеличение интервала QT на ЭКГ, аритмия типа ""пируэт"", желудочковая тахикардия.
      Со стороны дыхательной системы: нечасто - одышка, носовое кровотечение.
      Со стороны пищеварительной системы: очень часто - диарея; часто - тошнота, рвота, боль в животе; нечасто - метеоризм, диспепсия, запор, гастрит, дисфагия, вздутие живота, сухость слизистой оболочки полости рта, отрыжка, язвы слизистой оболочки полости рта, повышение секреции слюнных желез; очень редко - изменение цвета языка, панкреатит.
      Со стороны печени и желчевыводящих путей: нечасто - гепатит; редко - нарушение функции печени, холестатическая желтуха; частота неизвестна - печеночная недостаточность (в редких случаях с летальным исходом в основном на фоне тяжелого нарушения функции печени), некроз печени, фульминантный гепатит.","Повышенная чувствительность к азитромицину, эритромицину, другим макролидам или кетолидам; нарушения функции печени тяжелой степени; одновременное применение с эрготамином и дигидроэрготамином; детский возраст до 6 месяцев (для лекарственной формы порошок для приготовления суспензии); детский возраст до 3 лет (для лекарственной формы таблетки 125 мг), детский возраст до 12 лет с массой тела менее 45 кг (для лекарственной формы таблетки 500 мг).","Применение при беременности возможно только в случаях, когда предполагаемая польза для матери превышает потенциальный риск для плода. При необходимости применения азитромицина в период лактации следует решить вопрос о прекращении грудного вскармливания.",Противопоказано применение при нарушении функции печени тяжелой степени. С осторожностью применяют при нарушении функции печени легкой и средней степени.,С осторожностью применяют при терминальной почечной недостаточности с СКФ менее 10 мл/мин.,"Противопоказано применение в детском возрасте до 6 месяцев (для лекарственной формы порошок для приготовления суспензии); в возрасте до 3 лет (для лекарственной формы таблетки 125 мг), в возрасте до 12 лет с массой тела менее 45 кг (для лекарственной формы таблетки 500 мг).","У пожилых пациентов возможно наличие проаритмогенных состояний, следует с осторожностью применять азитромицин в связи с высоким риском развития аритмий, в т.ч. желудочковой аритмии типа ""пируэт"".","С осторожностью следует применять у пациентов с легкими и умеренными нарушениями функции печени из-за возможности развития фульминантного гепатита и тяжелой печеночной недостаточности. При наличии симптомов нарушения функции печени, таких как быстро нарастающая астения, желтуха, потемнение мочи, склонность к кровотечениям, печеночная энцефалопатия терапию азитромицином следует прекратить и провести исследование функционального состояния печени.
      Как и при применении других антибактериальных препаратов, при терапии азитромицином следует регулярно обследовать пациентов на наличие невосприимчивых микроорганизмов и признаков развития суперинфекций, в т.ч. грибковых.
      Азитромицин не следует применять более длительными курсами, чем указано в инструкции, т.к. фармакокинетические свойства азитромицина позволяют рекомендовать короткий и простой режим дозирования.
      При длительном применении азитромицина возможно развитие псевдомембранозного колита, вызванного Clostridium difficile, как в виде легкой диареи, так и тяжелого колита. При развитии антибиотик-ассоциированной диареи на фоне применения азитромицина, а также через 2 месяца после окончания терапии следует исключить псевдомембранозный колит, вызванный Clostridium difficile. Препараты, тормозящие перистальтику кишечника, противопоказаны.
      При лечении макролидами, в т.ч. азитромицином, наблюдалось удлинение сердечной реполяризации и интервала QT, повышающих риск развития сердечных аритмий, в т.ч. аритмии типа ""пируэт"".
      Применение азитромицина может спровоцировать развитие миастенического синдрома или вызвать обострение миастении.",1,
albendazole,альбендазол,альбендазол,anthelmintic drug,антигельминтные препараты,гельминтке қарсы препарат,ATC C01BD01,"Албендазол связывается с колхицинчувствительным участком бета-тубулина, ингибируя его полимеризацию в микротрубочки. Уменьшение микротрубочек в кишечных клетках паразитов снижает их абсорбционную функцию, особенно поглощение глюкозы взрослыми и личиночными формами паразитов, а также истощает запасы гликогена. Недостаток глюкозы приводит к недостаточной выработке АТФ и в конечном итоге к гибели паразита.
      Паразитарная резистентность к албендазолу вызывается изменениями аминокислот, которые приводят к изменениям белка бета-тубулина. Это вызывает снижение связывания албендазола с бета-тубулином. По указанным показаниям албендазол проявляет активность в отношении личиночных форм следующих организмов: Echinococcus granulosus и Taenia solium.","Албендазол плохо всасывается из ЖКТ из-за его низкой растворимости в воде. Концентрация албендазола в плазме крови незначительная или не определяется, поскольку до попадания в системный кровоток он быстро превращается в первичный метаболит — албендазола сульфоксид, которому приписывают системную антигельминтную активность. Пероральная биодоступность, по-видимому, увеличивается при одновременном применении албендазола с жирной пищей (расчетное содержание жира 40 г), о чем свидетельствует более высокая (в среднем до 5 раз) концентрация албендазола сульфоксида в плазме крови по сравнению с состоянием натощак. 
      Cmax албендазола сульфоксида в плазме крови у 6 пациентов с эхинококкозом после перорального приема (доза 400 мг) с жирной пищей достигалась через 2–5 ч и составляла в среднем 1310 нг/мл (диапазон 460–1580 нг/мл). Концентрация албендазола сульфоксида в плазме крови увеличивались пропорционально дозе в диапазоне терапевтических доз после приема пищи с высоким содержанием жира (43,1 грамма). Средний кажущийся конечный T1/2 албендазола сульфоксида варьировал от 8 до 12 ч у 25 здоровых добровольцев, а также у 14 пациентов с эхинококкозом и 8 — с нейроцистицеркозом.
      После 4 нед приема албендазола (200 мг 3 раза в день) концентрация албендазола сульфоксида в плазме крови у 12 пациентов была примерно на 20% ниже, чем наблюдаемая в течение первой половины периода лечения, что позволяет предположить, что албендазол может индуцировать собственный метаболизм.
      Распределение: Албендазола сульфоксид на 70% связывается с белками плазмы крови и широко распределяется в организме, обнаруживаясь в моче, желчи, печени, стенке кисты, жидкости кисты и спинномозговой жидкости. Концентрация его в плазме крови была в 3–10 и 2–4 раза выше, чем одновременно определяемая в жидкости кисты и спинномозговой жидкости соответственно.
      Метаболизм и экскреция: Албендазол быстро превращается в печени в основной метаболит, албендазола сульфоксид, который далее метаболизируется до сульфона албендазола и других первичных окислительных метаболитов, обнаруженных в моче человека. После перорального приема албендазол в моче человека не обнаруживался. Выведение с мочой албендазола сульфоксида является второстепенным путем выведения, при этом в моче определяется менее 1% дозы. Выведение с желчью, по-видимому, составляет часть элиминации, о чем свидетельствуют концентрации албендазола сульфоксида в желчных путях, аналогичные тем, которые достигаются в плазме крови.","Паренхиматозный нейроцистицеркоз, вызванный активными поражениями личиночными формами свиного цепня Taenia solium; кистозный эхинококкоз печени, легких и брюшины, вызванный личиночной формой собачьего цепня Echinococcus granulosus.","Со стороны пищеварительной системы: абдоминальная боль, тошнота, рвота, повышение активности печеночных трансаминаз.
      Со стороны ЦНС: головная боль, головокружение, менингеальные симптомы.
      Со стороны системы кроветворения: лейкопения, гранулоцитопения, агранулоцитоз, тромбоцитопения, панцитопения.
      Аллергические реакции: кожная сыпь, зуд.
      Со стороны мочевыделительной системы: нарушение функции почек, острая почечная недостаточность.
      Прочие: гипертермия, повышение АД, алопеция.","Патология сетчатки глаза, беременность, лактация (грудное вскармливание), детский возраст до 1 года (для всех лекарственных форм), повышенная чувствительность к албендазолу.","Албендазол противопоказан к применению при беременности и в период лактации (грудного вскармливания). Женщинам детородного возраста в период лечения рекомендуется использовать негормональные методы контрацепции. Неизвестно, выделяется ли албендазол и его активный метаболит с грудным молоком.
      В экспериментальных исследованиях на животных показана тератогенность албендазола","С осторожностью назначают албендазол пациентам с печеночной недостаточностью, циррозом печени.",У пациентов с нарушением функции почек клиренс албендазола не меняется.,Противопоказано применение у детей в возрасте до 1 года (для всех лекарственных форм). У детей старше 1 года применяют в соответствующих лекарственных формах.,Специальных ограничений не имеется.,"С осторожностью применяют албендазол у пациентов с угнетением костномозгового кроветворения, печеночной недостаточностью, циррозом печени, патологией сетчатки глаза.
      Необходимо прекращение терапии при развитии лейкопении. При нейроцистицеркозе с поражением глаз перед началом лечения необходимо исследование сетчатки глаза (увеличивается риск усугубления патологии сетчатки глаза). Пациенты, получающие высокие дозы, должны находиться под тщательным наблюдением, при постоянном контроле состояния крови и функций печени.
      У детей следует избегать применения албендазола в высоких дозах в течение длительного времени.",2,
amiodarone,амиодарон,амиодарон,antiarrhythmic drug,антиаритмический препарат,аритмияға қарсы препарат,ATC P02CA03,"Антиаритмическое средство класса III, обладает антиангинальным действием.
      Антиаритмический эффект связан со способностью увеличивать длительность потенциала действия кардиомиоцитов и эффективного рефрактерного периода предсердий, желудочков сердца, AV-узла, пучка Гиса, волокон Пуркинье. Это сопровождается снижением автоматизма синусового узла, замедлением AV-проводимости, снижением возбудимости кардиомиоцитов. Полагают, что механизм увеличения продолжительности потенциала действия связан с блокадой калиевых каналов (снижается выведение ионов калия из кардиомиоцитов). Блокируя инактивированные ""быстрые"" натриевые каналы, оказывает эффекты, характерные для антиаритмических средств I класса. Тормозит медленную (диастолическую) деполяризацию мембраны клеток синусового узла, вызывая брадикардию, угнетает AV-проведение (эффект антиаритмиков IV класса).
      Антиангинальный эффект обусловлен коронарорасширяющим и антиадренергическим действием, уменьшением потребности миокарда в кислороде. Оказывает тормозящее влияние на α- и β-адренорецепторы сердечно-сосудистой системы (без полной их блокады). Уменьшает чувствительность к гиперстимуляции симпатической нервной системы, тонус коронарных сосудов; увеличивает коронарный кровоток; урежает ЧСС; повышает энергетические резервы миокарда (за счет увеличения содержания креатинсульфата, аденозина и гликогена). Снижает ОПСС и системное АД (при в/в введении).
      Полагают, что амиодарон может повышать уровень фосфолипидов в тканях.
      Содержит йод. Влияет на метаболизм гормонов щитовидной железы, ингибирует превращение T3 в T4 (блокада тироксин-5-дейодиназы) и блокирует захват этих гормонов кардиоцитами и гепатоцитами, что приводит к ослаблению стимулирующего влияния тиреоидных гормонов на миокард (дефицит T3 может привести к его гиперпродукции и тиреотоксикозу).","После приема внутрь медленно абсорбируется из ЖКТ, абсорбция составляет 20-55%. Cmax в плазме крови достигается через 3-7 ч.
      Вследствие интенсивного накопления в жировой ткани и органах с высоким уровнем кровоснабжения (печень, легкие, селезенка) имеет большой и вариабельный Vd и характеризуется медленным достижением равновесной и терапевтической концентраций в плазме крови и к длительному выведению. Амиодарон определяется в плазме крови до 9 мес после прекращения его применения. Связывание с белками высокое - 96% (62% - с альбумином, 33.5% - с β-липопротеинами).
      Проникает через ГЭБ и плацентарный барьер (10-50%), выделяется с грудным молоком (25% дозы, полученной матерью).
      Интенсивно метаболизируется в печени с образованием активного метаболита десэтиламиодарона, а также, по-видимому, путем дейодирования. При продолжительном лечении концентрации йода могут достигать 60-80% концентрации амиодарона. Является ингибитором изоферментов CYP2C9, CYP2D6 и CYP3A4, CYP3A5, CYP3A7 в печени.
      Выведение имеет двухфазный характер. После приема внутрь T1/2 в начальной фазе составляет 4-21 день, в терминальной фазе - 25-110 дней; десэтиламиодарона - в среднем 61 день. Как правило, при курсовом пероральном применении T1/2 амиодарона составляет 14-59 дней. После в/в введения амиодарона T1/2 в терминальной фазе составляет 4-10 дней. Выводится главным образом с желчью через кишечник, может наблюдаться небольшая энтерогепатическая рециркуляция. В очень небольших количествах амиодарон и десэтиламиодарон выводится с мочой.
      Амиодарон и его метаболиты не выводятся при диализе.","Лечение и профилактика пароксизмальных нарушений ритма: угрожающие жизни желудочковые аритмии (в т.ч. желудочковая тахикардия), профилактика фибрилляции желудочков (в т.ч. после кардиоверсии), суправентрикулярные аритмии (как правило, при неэффективности или невозможности другой терапии, особенно связанные с синдромом WPW), в т.ч. пароксизм мерцания и трепетания предсердий; предсердная и желудочковая экстрасистолия; аритмии на фоне коронарной недостаточности или хронической сердечной недостаточности, парасистолия, желудочковые аритмии у больных с миокардитом Шагаса; стенокардия.","Со стороны сердечно-сосудистой системы: синусовая брадикардия (рефрактерная к м-холиноблокаторам), AV-блокада, при длительном применении - прогрессирование ХСН, желудочковая аритмия типа ""пируэт"", усиление существующей аритмии или ее возникновение, при парентеральном применении - снижение АД.
      Со стороны эндокринной системы: развитие гипо- или гипертиреоидизма.
      Со стороны дыхательной системы: при длительном применении - кашель, одышка, интерстициальная пневмония или альвеолит, фиброз легких, плеврит, при парентеральном применении - бронхоспазм, апноэ (у больных с тяжелой дыхательной недостаточностью).
      Со стороны пищеварительной системы: тошнота, рвота, снижение аппетита, притупление или потеря вкусовых ощущений, ощущение тяжести в эпигастрии, боль в животе, запоры, метеоризм, диарея; редко - повышение активности печеночных трансаминаз, при длительном применении - токсический гепатит, холестаз, желтуха, цирроз печени.
      Со стороны нервной системы: головная боль, слабость, головокружение, депрессия, ощущение усталости, парестезии, слуховые галлюцинации, при длительном применении - периферическая невропатия, тремор, нарушение памяти, сна, экстрапирамидные проявления, атаксия, неврит зрительного нерва, при парентеральном применении - внутричерепная гипертензия.
      Со стороны органов чувств: увеит, отложение липофусцина в эпителии роговицы (если отложения значительные и частично заполняют зрачок - жалобы на светящиеся точки или пелену перед глазами при ярком свете), микроотслойка сетчатки.
      Со стороны системы кроветворения: тромбоцитопения, гемолитическая и апластическая анемия.
      Дерматологические реакции: кожная сыпь, эксфолиативный дерматит, фоточувствительность, алопеция; редко - серо-голубое окрашивание кожных покровов.
      Местные реакции: тромбофлебит.
      Прочие: эпидидимит, миопатия, снижение потенции, васкулит, при парентеральном применении - жар, повышенное потоотделение.","Синусовая брадикардия, СССУ, синоатриальная блокада, AV-блокада II-III степени (без использования кардиостимулятора), кардиогенный шок, гипокалиемия, коллапс, артериальная гипотензия, гипотиреоз, тиреотоксикоз, интерстициальные болезни легких, прием ингибиторов МАО, беременность, период лактации, повышенная чувствительность к амиодарону и к йоду.","Противопоказано применение при беременности и в период лактации.
      Амиодарон и десметиламиодарон проникают через плацентарный барьер, их концентрации в крови плода, составляют соответственно 10% и 25% от концентрации в крови матери.
      Амиодарон и десметиламиодарон выделяются с грудным молоком.",C осторожностью применять при печеночной недостаточности.,У пациентов с нарушением функции почек клиренс албендазола не меняется.,,C осторожностью применять у пациентов пожилого возраста (высокий риск развития тяжелой брадикардии).,"С осторожностью применять при хронической сердечной недостаточности, печеночной недостаточности, бронхиальной астме, у пациентов пожилого возраста (высокий риск развития тяжелой брадикардии), в возрасте до 18 лет (эффективность и безопасность применения не установлены).
      Не следует применять у пациентов с тяжелой дыхательной недостаточностью.
      Перед началом применения амиодарона следует провести рентгенологическое исследование легких и функции щитовидной железы, при необходимости, провести коррекцию электролитных нарушений.
      При длительном лечении необходим регулярный контроль функции щитовидной железы, консультации окулиста и рентгенологическое исследование легких.
      Парентерально можно применять только в специализированных отделениях стационаров под постоянным контролем АД, ЧСС и ЭКГ.
      Пациенты, получающие амиодарон, должны избегать прямого воздействия солнечного света.
      При отмене амиодарона возможны рецидивы нарушений сердечного ритма.
      Может оказывать влияние на результаты теста накопления радиоактивного йода в щитовидной железе.
      Не следует применять амиодарон одновременно с хинидином, бета-адреноблокаторами, блокаторами кальциевых каналов, дигоксином, кумарином, доксепином.",3,
amlodipine,амлодипин,амлодипин,calcium channel blockers,блокаторы кальциевых каналов,кальций каналының блокаторы,ATC C08CA01,"Селективный антагонист кальция из группы дигидропиридинов. Связываясь с дигидропиридиновыми рецепторами, блокирует кальциевые каналы, снижает трансмембранный переход ионов кальция в клетку (в большей степени в гладкомышечные клетки сосудов, чем в кардиомиоциты). Под его действием снижается тонус гладкой мускулатуры сосудов (артериол), уменьшается периферическое сосудистое сопротивление, что приводит к снижению артериального давления (АД). Гипотензивное действие обусловлено прямым расслабляющим влиянием на гладкую мышцу сосудов. 
      При стенокардии уменьшает выраженность ишемии миокарда (за счет расширения периферических артериол и снижения ОПСС на фоне мало изменяющегося ЧСС). Уменьшение нагрузки на сердце приводит к снижению потребности миокарда в кислороде; с другой стороны, за счет расширения главных коронарных артерий и коронарных артериол как в неизменных, так и в ишемизированных зонах миокарда увеличивается поступление кислорода в миокард (особенно при вазоспастической стенокардии). Предотвращает развитие констрикции коронарных артерий (в т.ч. вызванной курением). При артериальной гипертензии разовая суточная доза обеспечивает клинически значимое снижение АД на протяжении 24 ч (как в положении лежа, так и стоя). 
      Благодаря медленному началу действия не вызывает резкого снижения АД, снижения толерантности к физической нагрузке, фракции выброса левого желудочка. У больных стенокардией разовая суточная доза увеличивает время выполнения физической нагрузки, замедляет скорость развития приступа стенокардии и «ишемической» депрессии сегмента ST, снижает частоту приступов стенокардии и потребления нитроглицерина. 
      Не оказывает неблагоприятных влияний на обмен веществ и липиды плазмы крови. Время наступления клинического эффекта — 2–4 ч, длительность — 24 ч.","Всасывание: После приема внутрь амлодипин медленно абсорбируется из ЖКТ. Прием пищи не влияет на абсорбцию амлодипина. Средняя абсолютная биодоступность составляет 64%. Cmax в сыворотке крови достигается через 6-9 ч.
      Распределение: Css достигается через 7-8 дней терапии. Связывание с белками плазмы крови составляет 95%. Средний Vd - 21 л/кг массы тела. Амлодипин проникает через ГЭБ.
      Метаболизм: Амлодипин подвергается медленному, но активному метаболизму (90- 97%) в печени при отсутствии значимого эффекта ""первого прохождения"". Метаболиты не обладают значимой фармакологической активностью.
      Выведение: Т1/2 в среднем составляет - 35 ч. Около 60% принятой внутрь дозы выводится почками преимущественно в виде метаболитов, 10% - в неизмененном виде, 20-25% - с желчью и через кишечник в виде метаболитов, а также с грудным молоком. Общий клиренс амлодипина составляет 0.116 мл/с/кг (7 мл/мин/кг, 0.42 л/ч/кг). При гемодиализе не выводится.
      Фармакокинетика у особых групп пациентов Т1/2 у пациентов с артериальной гипертензией составляет 48 ч, у пациентов пожилого возраста увеличивается до 65 ч, при печеночной недостаточности - до 60 ч. Сходные параметры увеличения Т1/2 наблюдаются при тяжелой хронической сердечной недостаточности, при нарушении функции почек Т1/2 не изменяется.","артериальная гипертензия (в качестве монотерапии или в комбинации с другими антигипертензивными средствами);
      стабильная стенокардия напряжения и стенокардия Принцметала (в качестве монотерапии или в комбинации с другими антиангинальными средствами).","Со стороны сердечно-сосудистой системы: часто - ощущение сердцебиения, периферические отеки (отечность лодыжек и стоп); нечасто - чрезмерное снижение АД, ортостатическая гипотензия, васкулит; редко - развитие или усугубление хронической сердечной недостаточности; очень редко - нарушения ритма (брадикардия, желудочковая тахикардия, мерцание предсердий), инфаркт миокарда, боль в грудной клетке, мигрень.
      Со стороны ЦНС: часто - головная боль, головокружение, повышенная утомляемость; нечасто - недомогание, обморок, астения, гипестезия, парестезии, периферическая невропатия, тремор, бессонница, эмоциональная лабильность, необычные сновидения, нервозность, депрессия, тревога; редко - судороги, апатия, ажитация; очень редко - атаксия, амнезия.
      Со стороны органа зрения: нечасто - нарушение зрения, диплопия, нарушение аккомодации, ксерофтальмия, конъюнктивит, боль в глазах.
      Со стороны системы кроветворения: очень редко - тромбоцитопения, лейкопения, тромбоцитопеническая пурпура.
      Со стороны дыхательной системы: нечасто - одышка, ринит; очень редко - кашель.
      Со стороны пищеварительной системы: часто - тошнота, абдоминальная боль; нечасто - рвота, изменение режима дефекации (в т.ч. запор, метеоризм), диспепсия, диарея, анорексия, сухость во рту, жажда, извращение вкуса; редко - гиперплазия десен, повышение аппетита; очень редко - гастрит, панкреатит, гипербилирубинемия, желтуха (обычно холестатическая), повышение активности печеночных трансаминаз, гепатит.
      Со стороны мочевыделительной системы: нечасто - поллакиурия, болезненные позывы на мочеиспускание, никтурия; очень редко - дизурия, полиурия.
      Со стороны половой системы и молочной железы: нечасто - импотенция, гинекомастия.
      Со стороны костно-мышечной системы: нечасто - артралгия, судороги мышц, артроз, миалгия (при длительном применении), боль в спине; редко - миастения.
      Со стороны кожных покровов: редко - повышенная потливость; очень редко - холодный липкий пот, ксеродермия, алопеция, дерматит, пурпура, нарушение пигментации кожи.
      Аллергические реакции: нечасто - кожный зуд, сыпь; очень редко - ангионевротический отек, многоформная эритема, крапивница.
      Прочие: нечасто - звон в ушах, увеличение/снижение массы тела, озноб, носовое кровотечение; очень редко - паросмия, гипергликемия.","- выраженная артериальная гипотензия (систолическое АД менее 90 мм рт.ст.);
      - коллапс;
      - кардиогенный шок;
      - нестабильная стенокардия (за исключением стенокардии Принцметала);
      - выраженный аортальный стеноз;
      - непереносимость лактозы, дефицит лактазы или синдром мальабсорбции глюкозы/галактозы;
      - беременность;
      - период лактации;
      - возраст до 18 лет (эффективность и безопасность не установлены);
      - повышенная чувствительность к амлодипину, другим компонентам препарата или другим производным дигидропиридина.
      С осторожностью следует назначать препарат при нарушении функции печени, СССУ (выраженная брадикардия, тахикардия), хронической сердечной недостаточности неишемической этиологии III-IV функционального класса по классификации NYHA, аортальном стенозе, митральном стенозе, гипертрофической обструктивной кардиомиопатии, остром инфаркте миокарда (и в течение 1 мес после), пациентам пожилого возраста.","Не было выявлено тератогенности амлодипина в исследовании на животных, однако отсутствует клинический опыт его применения при беременности и в период лактации. Поэтому амлодипин не следует назначать беременным и в период лактации, а также женщинам детородного возраста, если они не используют надежные методы контрацепции.",С осторожностью следует назначать препарат пациентам с нарушениями функции печени.,Не требуется изменения дозы у пациентов с почечной недостаточностью.,Применение препарата у детей и подростков в возрасте до 18 лет противопоказано (эффективность и безопасность не установлены).,"С осторожностью следует назначать препарат пациентам пожилого возраста. Изменения дозы не требуется, но необходимо более тщательное наблюдение за пациентами.","В период лечения препаратом Амлодипин необходим контроль массы тела пациентов и количества потребляемого хлорида натрия; назначают соответствующую диету с ограничением потребления соли.
      Необходимо поддержание гигиены зубов и регулярное посещение стоматолога (для предотвращения болезненности, кровоточивости и гиперплазии десен).
      Режим дозирования препарата Амлодипин у пациентов пожилого возраста аналогичен таковому у больных других возрастных групп. При увеличении дозы необходимо тщательное наблюдение за пожилыми пациентами.
      Несмотря на отсутствие синдрома отмены у БМКК, перед прекращением лечения рекомендуется постепенное уменьшение дозы.
      Амлодипин не влияет на плазменные концентрации в крови ионов калия, глюкозы, триглицеридов, общего холестерина, ЛПНП, мочевой кислоты, креатинина и азота мочевины.
      Следует избегать резкой отмены препарата из-за риска ухудшения течения стенокардии. Применение препарата Амлодипин не рекомендуется при гипертоническом кризе.
      Пациентам с низкой массой тела, пациентам невысокого роста и больным с выраженными нарушениями функции печени может потребоваться меньшая доза.
      Влияние на способность к управлению транспортными средствами и механизмами
      Не было сообщений о влиянии препарата Амлодипин на управление автотранспортом или работу с механизмами. Тем не менее, у некоторых пациентов, преимущественно в начале лечения, могут возникать сонливость и головокружение, поэтому следует соблюдать осторожность при вождении автотранспорта и занятии потенциально опасными видами деятельности, требующими повышенной концентрации внимания и быстроты психомоторных реакций.",4,
