drug/0/eng,drug/0/kaz,drug/0/ru,drug/1/eng,drug/1/kaz,drug/1/ru,general/description/med_description_ru/body,general/description/med_description_ru/ref,general/description/consumer_description_ru,general/_value,general/_degree,_id,_type
azithromycin,азитромицин,азитромицин,amiodarone,амиодарон,амиодарон,"Амиодарон может вызывать удлинение интервала QT в зависимости от дозы. Совместное назначение с препаратами, которые могут удлинять интервал QT, такими как макролиды, может привести к аддитивным эффектам и повышению риска желудочковых аритмий, включая пируэтную тахикардию (torsades de pointes) и внезапную смерть. Некоторые макролиды также являются мощными ингибиторами CYP450 3A4 и могут значительно подавлять метаболизм амиодарона, который в основном метаболизируется этим изоферментом. Следует избегать одновременного применения амиодарона с другими препаратами, которые могут удлинять интервал QT, за исключением тех случаев, когда польза превышает риск. Пациентам следует рекомендовать обратиться за медицинской помощью, если они испытывают симптомы, которые могут указывать на возникновение пируэтной тахикардии, такие как головокружение, предобморочное состояние, обмороки, учащенное сердцебиение, нерегулярное сердцебиение, одышка.","1) Ranger S, Talajic M, Nattel S, et al. ""Erythromycin-induced long QT syndrome: concordance with quinidine and underlying cellular electrophysiologic mechanism."" Am J Med 89 (1990): 235-8
					  2) ""Product Information. Cordarone (amiodarone)."" Wyeth-Ayerst Laboratories (2002):
					  3) ""Product Information. Azithromycin Product Information (azithromycin)."" Pfizer US Pharmaceuticals, New York, NY.
					  4) Belloc C, Trivier JM, Libersa C, Lhermitte M ""Amiodarone N-deethylation in human liver microsomes: involvement of cytochrome P450 3A enzymes (first report)."" Life Sci 52 (1993): pl91-6
					  5) DeBisschop M, Lower D, Martin L, Yamreudeewong W ""Potentially Significant Drug Interactions of Class III Antiarrhythmic Drugs."" Drug Saf 26 (2003): 421-38
					  6)Evans SJ, Samarendra P, Kumari S, Navarro V, Sacchi TJ ""QT prolongation associated with azithromycin/amiodarone combination."" Pacing Clin Electrophysiol 24 (2001): 1572-4
					  7) ""Product Information. Erythrocin Lactobionate (erythromycin)."" Abbott Pharmaceutical (2003):","Проконсультируйтесь со своим врачом, прежде чем использовать амиодарон вместе с азитромицином, это может увеличить риск нерегулярного сердечного ритма, который потенциально опасен для жизни. Кроме того, азитромицин может повышать уровень амиодарона в крови, что может привести к развитию серьезных побочных эффектов, таких как пневмонит (воспаление легочной ткани), повреждение нервов, повреждение печени, нарушения функции щитовидной железы и ухудшение зрения. Вам может потребоваться коррекция дозы или специальный контроль со стороны вашего врача, чтобы безопасно использовать оба препарата. Следует немедленно обратиться к врачу, если во время лечения амиодароном у вас возникнет внезапное головокружение, обморок, одышка или  учащенное сердцебиение. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств, предварительно не посоветовавшись со своим врачом.",yes,major,1,drug-drug
azithromycin,азитромицин,азитромицин,haloperidol,галоперидол,галоперидол,"Галоперидол может вызвать дозозависимое удлинение интервала QT. Cовместное назначение с азитромицином может привести к аддитивным эффектам и повышению риска желудочковых аритмий, включая пируэтную тахикардию (torsades de pointes) и внезапную смерть.Одно только лечение галоперидолом было связано с рядом зарегистрированных случаев пируэтной тахикардии  и внезапной смерти. В большинстве случаев речь шла о внутривенном введении или применении доз, превышающих рекомендуемые.В целом, риск того, что отдельный агент или комбинация агентов вызывают желудочковую аритмию в сочетании с удлинением интервала QT, в значительной степени непредсказуем, но может быть увеличен некоторыми основными факторами риска, такими как врожденный синдром удлиненного интервала QT, болезни сердца и нарушения электролитного баланса (например, гипокалиемия, гипомагниемия). Рекомендуется соблюдать осторожность, если галоперидол используется в сочетании с другими препаратами, которые могут удлинять интервал QT, особенно при внутривенном введении или в дозах, превышающих рекомендуемые. Пациентам следует рекомендовать немедленно обратиться за медицинской помощью, если они испытывают симптомы, которые могут указывать на возникновение пируэтной тахикардии, такие как головокружение, обморок, сердцебиение, нерегулярный сердечный ритм или одышка. Кроме того, если требуется комбинированная терапия препаратами с антихолинергическими свойствами, рекомендуется соблюдать осторожность, особенно у пожилых людей и лиц с сопутствующими органическими заболеваниями головного мозга. Пациентам следует рекомендовать незамедлительно уведомить своего врача, если они испытывают потенциальные симптомы антихолинергической интоксикации, такие как боль в животе, лихорадка, непереносимость тепла, помутнение зрения, спутанность сознания и/или галлюцинации.","1. van Schijndel RS, Huyse F ""Haloperidol and cardiac arrest."" Lancet 2 (1988): 568-9
						2. ""Product Information. Haldol (haloperidol)."" McNeil Pharmaceutical (2002):
						3. Rosenblum AM, Johnson RF, Minnema AM, Wilt JL ""Torsade de pointes associated with the use of intravenous haloperidol."" Ann Intern Med 119 (1993): 391-4
						4. Friedman R, Metzger E ""Prolongation of the corrected QT and torsades de pointes cardiac arrhythmia associated with intravenous haloperidol in the medically ill."" J Clin Psychopharmacol 13 (1993): 128-32
						5. Rockwood RP, Suh KI, O'Brien JM ""Haloperidol-induced torsade de pointes."" Ann Pharmacother 33 (1999): 1046-9
						6. Asukai N, Matsuzaki I, Hatta K, Nakamura H, Takahashi T, Yamashiro H, Yonezawa Y ""The association between intravenous haloperidol and prolonged QT interval."" J Clin Psychopharmacol 21 (2001): 257-61
						7. Cerner Multum, Inc. ""UK Summary of Product Characteristics."" 
						8. Canadian Pharmacists Association ""e-CPS. http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink."" (2006):
						9. Cerner Multum, Inc. ""Australian Product Information."" 
						10. EMA. European Medicines Agency. European Union ""EMA - List of medicines under additional monitoring. http://www.ema.europa.eu/ema/index.jsp?curl=pages/regulation/document_listing/document_listing_000366.jspmid=WC0b01ac058067c852"" (2013):","Использование галоперидола вместе с азитромицином может увеличить риск нерегулярного сердечного ритма, который может быть серьезным и потенциально опасным для жизни. Вы можете быть более восприимчивы, если у вас есть заболевание сердца, называемое врожденным синдромом удлиненного интервала QT, другие сердечные заболевания, аномалии проводимости или электролитные нарушения (например, потеря магния или калия из-за тяжелой или продолжительной диареи или рвоты).                        Ввс необходимо немедленно обратиться за медицинской помощью, если у вас возникнет внезапное головокружение, обмороки, одышка или учащенное сердцебиение во время лечения этими лекарствами, вместе или по отдельности. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,major,2,drug-drug
azithromycin,азитромицин,азитромицин,nilotinib,нилотиниб,нилотиниб,"Нилотиниб может вызывать зависимое от концентрации удлинение интервала QT. Совместное назначение с препаратами, которые могут удлинять интервал QT, такими как макролиды может привести к аддитивным эффектам и повышению риска желудочковых аритмий, включая пируэтную тахикардию и внезапную смерть. Следует избегать одновременного применения нилотиниба с другими препаратами, которые могут удлинять интервал QT. Если требуется лечение другими препаратами, удлиняющими интервал QT, производитель рекомендует временно приостановить терапию нилотинибом. Пациенты должны иметь частые ЭКГ и контролироваться на предмет аритмий при удлинении интервала QT. Интервал QTc, превышающий 480 мс, требует приостановки терапии нилотинибом и немедленного принятия мер по устранению сопутствующих факторов риска перед возобновлением лечения. Пациентам следует рекомендовать немедленно обратиться за медицинской помощью, если они испытывают симптомы, которые могут указывать на возникновение пируэтной тахикардии, такие как головокружение, обморок, сердцебиение, нерегулярный сердечный ритм или одышка.","1. Cerner Multum, Inc. ""UK Summary of Product Characteristics."" 
						2. Canadian Pharmacists Association ""e-CPS. http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink."" (2006):
						3. ""Product Information. Tasigna (nilotinib)."" Novartis Pharmaceuticals (2007):
						4. Cerner Multum, Inc. ""Australian Product Information.""","Применение нилотиниба вместе с азитромицином может увеличить риск нарушения сердечного ритма, которое может быть серьезным и потенциально опасным для жизни, хотя это относительно редкий побочный эффект. Вы можете быть более восприимчивы, если у вас есть заболевание сердца, называемое врожденным синдромом удлиненного интервала QT, другие сердечные заболевания, нарушения проводимости или нарушения электролитного баланса (например, потеря магния или калия из-за тяжелой или длительной диареи или рвоты). Поговорите со своим врачом, если у вас есть какие-либо вопросы или опасения. Вам следует немедленно обратиться к врачу, если у вас возникнет внезапное головокружение, обморок, одышка или учащенное сердцебиение во время лечения этими препаратами, как вместе, так и по отдельности. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы.",yes,major,3,drug-drug
amiodarone,амиодарон,амиодарон,warfarin,варфарин,варфарин,"Амиодарон может усиливать фармакологическое действие варфарина, ингибируя печеночный метаболизм S-варфарина с помощью CYP450 2C9,приводя к усилению антикоагулянтного эффекта, значительной гипопротромбинемии и кровотечениям. У пациентов с плохим метаболизмом CYP450 2C9 может быть более высокий риск кровотечения и более быстрое начало взаимодействия.                                                         Рекомендуется эмпирическое снижение дозы антикоагулянта на 30-50%  и необходимо контролировать показатели протромбинового времени или международного нормализованного отношения (МНО). Пациентам следует рекомендовать немедленно уведомлять своего врача, если у них возникают какие-либо признаки чрезмерной антикоагулянтной терапии, такие как необычное или продолжительное кровотечение, кровоподтеки, рвота, изменение цвета стула или мочи, головная боль, головокружение или слабость.","1. Wienkers L, Heimark LD, Kunze K, et al. ""The mechanism of the interaction between amiodarone and warfarin in humans."" Clin Pharmacol Ther 51 (1992): 398-407
						2. Fitton A, Heel RC, Gill J ""Amiodarone: an overview of its pharmacological properties, and review of its therapeutic use in cardiac arrhythmias."" Drugs 43 (1992): 69-110
						3. Bonati M, Neyroz P ""In vitro amiodarone protein binding and its interaction with warfarin."" Experientia 41 (1985): 361-3
						4. Breen GJ, Serlin MJ, Sibeon RG ""Dangers of amiodarone and anticoagulant treatment."" Br Med J (Clin Res Ed) 283 (1981): 58
						5. Peter T, Mandel WJ, Hamer A, et al. ""The potentiation of warfarin anticoagulation by amiodarone."" Circulation 65 (1982): 1025-9
						6. Goldman L, Blevins RD, Kerin NZ, et al. ""The incidence, magnitude, and time course of the amiodarone-warfarin interaction."" Arch Intern Med 148 (1988): 1779-81
						7. Hirsh J, Holbrook AM, Wells PS, Crowther NR ""Interactions of warfarin with drugs and food."" Ann Intern Med 121 (1994): 676-83
						8. Kumana CR, Lam FM, Cheung B ""Lesson of the week: insidiously evolving, occult drug interaction involving warfarin and amiodarone."" BMJ 312 (1996): 107-8
						9. Scheinman MM, Jafari-Fesharaki M ""Adverse effects of amiodarone."" Pacing Clin Electrophysiol 21 (1998): 108-20
						10. Beaune PH, Thijssen HH, Flin ois JP ""Cytochrome P4502C9 is the principal catalyst of racemic acenocoumarol hydroxylation reactions in human liver microsomes."" Drug Metab Dispos 28 (2000): 1284-90
						11. Chajek-Shaul T, Caraco Y ""The incidence and clinical significance of amiodarone and acenocoumarol interaction."" Thromb Haemost 62 (1989): 906-8
						12. Fondevila C, Meschengieser S, Lazzari M ""Amiodarone-acenocoumarin interaction."" Thromb Haemost 65 (1991): 328
						13. Becker RC, Fiuzat M, Shirolkar SC ""Dronedarone and vitamin K antagonists: A review of drug-drug interactions."" Am Heart J 160 (2010): 577-82","Использование амиодарона вместе с варфарином может вызвать более легкое кровотечение. Вам может потребоваться коррекция дозы в зависимости от протромбинового времени или международного нормализованного отношения (МНО). Необходимо обратиться к врачу, если у вас есть какие-либо необычные кровотечения или синяки, рвота, кровь в моче или стуле, головная боль, головокружение или слабость. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,major,4,drug-drug
amiodarone,амиодарон,амиодарон,verapamil hydrochloride,верапамил гидрохлориді,верапамила гидрохлорид,"Амиодарон и верапамил могут иметь аддитивные фармакодинамические эффекты при одновременном применении. Результатом может быть остановка синусового узла, снижение сократительной способности миокарда и гипотензия.
						Следует тщательно контролировать гемодинамический и электрокардиографический статус пациента, особенно во время нагрузки амиодароном.","1. Aragon E, Faitel K, Frumin H, Kerin NZ, Rubenfire M ""Long-term efficacy and toxicity of high- and low-dose amiodarone regimens."" J Clin Pharmacol 29 (1989): 418-23
						2. Podrid PJ, Wilson JS ""Side effects from amiodarone."" Am Heart J 121 (1991): 158-71
						3. Antman EM, Lee TH, Goldman L, Friedman PL, Stone PH ""Sinus arrest and hypotension with combined amiodarone-diltiazem therapy."" Am Heart J 109 (1985): 163-4
						4. Antman EM, Lee TH, Goldman L, Friedman PL, Stone PH ""Sinus arrest and hypotension with combined amiodarone-diltiazem therapy."" Am Heart J 109 (1985): 163-4","Применение амиодарона с верапамилом может иметь аддитивные эффекты при совместном применении. Необбходимо обратиться к врачу, если у вас снижена частота сердечных сокращений, головокружение, обмороки или головные боли. Ваше кровяное давление, возможно, потребуется проверять чаще. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием лекарств без предварительной консультации с врачом.",yes,major,5,drug-drug
amiodarone,амиодарон,амиодарон,haloperidol,галоперидол,галоперидол,"Антиаритмические препараты класса IA и класса III (амиодарон)  могут вызывать дозозависимое удлинение интервала QT. Необходимо избегать одновременного применения антиаритмических средств класса IA или класса III с другими препаратами, которые могут удлинять интервал QT и может привести к аддитивным эффектам и повышению риска желудочковых аритмий, включая пируэтную тахикардию и внезапную смерть. При одновременном применении рекомендуется осторожность и клинический мониторинг. Пациентам следует рекомендовать немедленно обратиться за медицинской помощью, если они испытывают симптомы, которые могут указывать на возникновение пируэтной тахикардии (torsade de pointes), такие как головокружение, обморок, сердцебиение, нерегулярный сердечный ритм, одышка или обмороки.","1. ""Product Information. Cordarone (amiodarone)."" Wyeth-Ayerst Laboratories (2002):
						2. ""Product Information. Vascor (bepridil)."" McNeil Pharmaceutical (2002):
						3. ""Product Information. Procan SR (procainamide)."" Parke-Davis (2001):
						4. ""Product Information. Quiniglute (quinidine)."" Berlex, Richmond, CA.
						5. ""Product Information. Betapace (sotalol)."" Berlex Laboratories (2001):
						6. ""Product Information. Norpace (disopyramide)."" Searle (2001):
						7. Trujillo TC, Nolan PE ""Antiarrhythmic agents - Drug interactions of clinical significance."" Drug Safety 23 (2000): 509-32
						8. DeBisschop M, Lower D, Martin L, Yamreudeewong W ""Potentially Significant Drug Interactions of Class III Antiarrhythmic Drugs."" Drug Saf 26 (2003): 421-38
						9. Cerner Multum, Inc. ""UK Summary of Product Characteristics."" 
						10. Canadian Pharmacists Association ""e-CPS. http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink."" (2006):
						11. Cerner Multum, Inc. ""Australian Product Information.""
						12. EMA. European Medicines Agency. European Union ""EMA - List of medicines under additional monitoring. http://www.ema.europa.eu/ema/index.jsp?curl=pages/regulation/document_listing/document_listing_000366.jspmid=WC0b01ac058067c852"" (2013):
						13. Adeeko MA, Hebeler RF, Maxa JL ""Torsades de pointes following concurrent amiodarone and levofloxacin therapy."" Proc (Bayl Univ Med Cent) 19 (2006): 345-6","Использование амиодарона вместе с галоперидолом может увеличить риск нерегулярного сердечного ритма, который может быть серьезным и потенциально опасным для жизни, хотя это относительно редкий побочный эффект. Вы можете быть более восприимчивы, если у вас есть заболевание сердца, называемое врожденным синдромом удлиненного интервала QT, другие сердечные заболевания, аномалии проводимости или электролитные нарушения (например, потеря магния или калия из-за тяжелой или продолжительной диареи или рвоты). Вы должны немедленно обратиться за медицинской помощью, если у вас возникнет внезапное головокружение,обмороки, одышка или учащенное сердцебиение во время лечения этими лекарствами, вместе или по отдельности. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,major,6,drug-drug
amiodarone,амиодарон,амиодарон,digoxin,дигоксин,дигоксин,"Совместное назначение с амиодароном может повысить концентрацию дигоксина в сыворотке крови до 100%, что часто приводит к клинической токсичности, особенно у детей. Предполагается, что амиодарон увеличивает время кишечного транзита, снижает почечный клиренс и объем распределения, вытесняет дигоксин из мест связывания с белками, а также вызывает гипотиреоз, и все это может способствовать повышению уровня дигоксина в сыворотке крови. Кроме того, оба препарата могут оказывать аддитивное брадикардическое действие.Сообщалось о сердечной аритмии типа torsade de pointes. Следует тщательно контролировать уровень наперстянки в сыворотке крови и наблюдать за пациентами на предмет клинических признаков токсичности. Пациентам следует рекомендовать обратиться к врачу, если они испытывают признаки токсичности наперстянки, такие как тошнота, анорексия, нарушения зрения, замедленный пульс или нерегулярное сердцебиение.","1. Aragon E, Faitel K, Frumin H, Kerin NZ, Rubenfire M ""Long-term efficacy and toxicity of high- and low-dose amiodarone regimens."" J Clin Pharmacol 29 (1989): 418-23
						2. Podrid PJ, Wilson JS ""Side effects from amiodarone."" Am Heart J 121 (1991): 158-71
						3. Fitton A, Heel RC, Gill J ""Amiodarone: an overview of its pharmacological properties, and review of its therapeutic use in cardiac arrhythmias."" Drugs 43 (1992): 69-110
						4. Heydorn WH, Oetgen WJ, Rakita L, Sobol SM, Tri TB ""Amiodarone-digoxin interaction: clinical and experimental observations."" Chest 86 (1984): 75-9
						5. Singh BN, Ookhtens M, Hendrickson J, Kannan R, Nademanee K, Kay I ""Amiodarone-digoxin interaction: clinical significance, time course of development, potential pharmacokinetic mechanisms and therapeutic implications."" J Am Coll Cardiol 4 (1984): 111-6
						6. Rodin SM, Johnson BF ""Pharmacokinetic interactions with digoxin."" Clin Pharmacokinet 15 (1988): 227-44
						7. Beker B, DiSegni E, Kaplinsky E, Klein HO ""Asystole produced by the combination of amiodarone and digoxin."" Am Heart J 113 (1987): 399-400
						8. Ackerman Z, Ben-Chetrit E, Eliakim M ""Amiodarone-associated hypothyroidism--a possible cause of digoxin intoxication."" Am J Med Sci 289 (1985): 114-6
						9. Kelly E, McGovern B, Garan H, Ruskin JN ""Adverse reactions during treatment with amiodarone hydrochloride."" Br Med J (Clin Res Ed) 287 (1983): 175-80
						10. Fenster PE, Jr Hanson CD, White NW ""Pharmacokinetic evaluation of the digoxin-amiodarone interaction."" J Am Coll Cardiol 5 (1985): 108-12                                                                                  11. Bajaj BP, Baig MW, Perrins EJ ""Amiodarone-induced torsades de pointes: the possible facilitatory role of digoxin."" Int J Cardiol 33 (1991): 335-7
						12. Marcus FI ""Pharmacokinetic interactions between digoxin and other drugs."" J Am Coll Cardiol 5 (1985): a82-90
						13. Jaggarao NS, Moysey JO, Chamberlain DA, Grundy EN ""Amiodarone increases plasma digoxin concentrations."" Br Med J (Clin Res Ed) 282 (1981): 272
						14. Hesslein PS, Koren G, MacLeod SM ""Digoxin toxicity associated with amiodarone therapy in children."" J Pediatr 104 (1984): 467-70
						15. ""Product Information. Cordarone (amiodarone)."" Wyeth-Ayerst Laboratories (2002):
						16. Mingardi G ""Amiodarone and plasma digoxin levels."" Lancet 1 (1984): 1238
						17. Freitag D, Bebee R, Sunderland B ""Digoxin-quinidine and digoxin-amiodarone interactions: frequency of occurrence and monitoring in australian repatriation hospitals."" J Clin Pharm Ther 20 (1995): 179-83
						18. Thoenes M, Laer S, Buschmann I, Meinertz T, Scholz H ""Digitoxin intoxication during concomitant use of amiodarone."" Eur J Clin Pharmacol 54 (1998): 95-6
						19. Fromm MF, Hitzl M, Drescher S, Eichelbaum M, Glaeser H, Murdter T ""P-glycoprotein-mediated intestinal and biliary digoxin transport in humans."" Clin Pharmacol Ther 73 (2003): 223-31","Необходимо сообщить врачу о совместном применении амиодарона и дигоксина.  Вам может потребоваться корректировка дозы или специальные тесты, чтобы безопасно принимать оба лекарства вместе. Эта комбинация может привести к повышению уровня дигоксина в крови. Вы должны сообщить своему врачу, если у вас есть симптомы высокого уровня дигоксина, такие как тошнота, снижение аппетита, нарушения зрения, медленный пульс или нерегулярное сердцебиение. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием лекарств без предварительной консультации с врачом.",yes,major,7,drug-drug
amiodarone,амиодарон,амиодарон,carbamazepine,карбамазепин,карбамазепин,"Совместное назначение с индукторами CYP450 3A4, такими как карбамазепин, рифамицины и зверобой, может снизить сывороточные концентрации амиодарона и его метаболита десетиламиодарона (ДЭА) и привести к терапевтической недостаточности. Предполагаемый механизм - индукция печеночного метаболизма амиодарона CYP450 3A4. Рекомендуется контролировать уровни амиодарона и ДЭА в сыворотке, а также клиническое состояние пациента, если индукторы CYP450 3A4 добавляются или удаляются из стабильной схемы лечения, включающей амиодарон. Пациентам следует рекомендовать сообщить своему врачу, если они испытывают ухудшение своих симптомов (например, учащенное сердцебиение или нерегулярное сердцебиение).","1. ""Product Information. Cordarone (amiodarone)."" Wyeth-Ayerst Laboratories (2002):
						2. ""Product Information. Cordarone Intravenous (amiodarone)."" Wyeth-Ayerst Laboratories, Philadelphia, PA.
						3. Costanzo MR, Porter MT, Santucci PA, Fischer SA, Trohman RG, Zarembski DG ""Impact of rifampin on serum amiodarone concentrations in a patient with congenital heart disease."" Pharmacotherapy 19 (1999): 249-51","Использование карбамазепина вместе с амиодароном может уменьшить действие амиодарона. Необходимо обратиться к врачу, если ваше состояние изменится или вы почувствуете ухудшение симптомов (нерегулярное сердцебиение и учащенное сердцебиение).Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,major,8,drug-drug
amiodarone,амиодарон,амиодарон,ketoconazole,кетоканазол,кетоканазол,"Совместное назначение с азольными противогрибковыми препаратами (кетоканозол, клотримазол, миконазол) может значительно повысить концентрацию амиодарона в плазме крови, что может привести к появлению серьезных и опасных для жизни нежелательных явлений со стороны сердца. Предполагаемый механизм - ингибирование азолом CYP450 3A4, изофермента, ответственного за метаболический клиренс амиодарона. Учитывая возможность серьезных и опасных для жизни нежелательных явлений со стороны сердца, связанных с повышением уровня амиодарона в плазме, следует по возможности избегать одновременного применения с азольными противогрибковыми средствами. В противном случае рекомендуется соблюдать осторожность и проводить тщательный клинический мониторинг, а пациентам следует рекомендовать обратиться за медицинской помощью, если они испытывают симптомы, которые могут указывать на возникновение пируэтной тахикардии, такие как головокружение, учащенное сердцебиение или обмороки.","1. ""Product Information. Cordarone (amiodarone)."" Wyeth-Ayerst Laboratories (2002):
						2. ""Product Information. Cordarone Intravenous (amiodarone)."" Wyeth-Ayerst Laboratories, Philadelphia, PA.
						3. Berger Y, Fabre G, Joyeux H, Julian B, Saint-Aubert B ""Evidence for CYP3A-mediated N-deethylation of amiodarone in human liver microsomal fractions."" Drug Metab Dispos 21 (1993): 978-85","Комбинация амиодарона и кетоканазола может значительно повысить уровень в крови и эффекты амиодарона. Высокий уровень амиодарона в крови может иногда вызывать нерегулярный сердечный ритм.  Вам следует немедленно обратиться за медицинской помощью, если у вас возникнет внезапное головокружение, обмороки или учащенное и сильное сердцебиение во время лечения амиодароном. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,major,9,drug-drug
amiodarone,амиодарон,амиодарон,clotrimazole,клотримазол,клотримазол,"Совместное назначение с азольными противогрибковыми препаратами (кетоканозол, клотримазол, миконазол) может значительно повысить концентрацию амиодарона в плазме крови, что может привести к появлению серьезных и опасных для жизни нежелательных явлений со стороны сердца. Предполагаемый механизм - ингибирование азолом CYP450 3A4, изофермента, ответственного за метаболический клиренс амиодарона. Учитывая возможность серьезных и опасных для жизни нежелательных явлений со стороны сердца, связанных с повышением уровня амиодарона в плазме, следует по возможности избегать одновременного применения с азольными противогрибковыми средствами. В противном случае рекомендуется соблюдать осторожность и проводить тщательный клинический мониторинг, а пациентам следует рекомендовать обратиться за медицинской помощью, если они испытывают симптомы, которые могут указывать на возникновение пируэтной тахикардии, такие как головокружение, учащенное сердцебиение или обмороки.","1. ""Product Information. Cordarone (amiodarone)."" Wyeth-Ayerst Laboratories (2002):
						2. ""Product Information. Cordarone Intravenous (amiodarone)."" Wyeth-Ayerst Laboratories, Philadelphia, PA.
						3. Berger Y, Fabre G, Joyeux H, Julian B, Saint-Aubert B ""Evidence for CYP3A-mediated N-deethylation of amiodarone in human liver microsomal fractions."" Drug Metab Dispos 21 (1993): 978-85","Комбинация амиодарона и клотримазола  может значительно повысить уровень в крови и эффекты амиодарона. Высокий уровень амиодарона в крови может иногда вызывать нерегулярный сердечный ритм.  Вам следует немедленно обратиться за медицинской помощью, если у вас возникнет внезапное головокружение, обмороки или учащенное и сильное сердцебиение во время лечения амиодароном. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,major,10,drug-drug
