drug/eng,drug/kaz,drug/ru,food/eng,food/kaz,food/ru,general/description/med_description_ru/body,general/description/med_description_ru/ref,general/description/consumer_description_ru,general/_value,general/_degree,_id,_type
albendazole,альбендазол,альбендазол,food,ас,пища,"Пища, особенно жирная, повышает биодоступность альбендазола при приеме внутрь, который после всасывания быстро превращается гепатоцитами и клетками слизистой оболочки кишечника в активный метаболит - сульфоксид альбендазола.","1. Awadzi K, Buttner DW, Edwards G, Orme ML, Prime MA, Coventry PA, Hero M, Opoku NO ""The chemotherapy of onchocerciasis XVII. A clinical evaluation of albendazole in patients with onchocerciasis; effects of food and pretreatment with ivermectin on drug response and pharmacokinetics."" Trop Med Parasitol 45 (1994): 203-8","Пища значительно увеличивает всасывание альбендазола, поэтому необходимо принимать альбендазол во время еды. Прием его натощак может привести к недостаточному уровню в крови и снижению эффективности лекарства.",yes,moderate,0001,drug-food
albendazole,альбендазол,альбендазол,grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"Грейпфрутовый сок может повышать пероральную биодоступность альбендазола, который после всасывания быстро превращается гепатоцитами и клетками слизистой оболочки кишечника в активный метаболит, сульфоксид альбендазола.","1. Nagy J, Koopmans RP, van Boxtel CJ, Butter JJ, Kager PA, Schipper HG ""Effect of grapefruit juice or cimetidine coadministration on albendazole bioavailability."" Am J Trop Med Hyg 66 (2002): 260-3",Грейпфрутовый сок также как и жирная пища может увеличить всасывание альбендазола.,yes,moderate,0002,drug-food
amiodarone,амиодарон,амиодарон,grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"Алкоголь может усиливать некоторые фармакологические эффекты агентов, действующих на ЦНС. Применение в комбинации может привести к дополнительному угнетению центральной нервной системы и/или ухудшению суждений, мышления и психомоторных навыков.
                    Пациенты, получающие препараты, действующие на ЦНС, должны быть предупреждены об этом взаимодействии и рекомендованы избегать или ограничивать потребление алкоголя. Амбулаторным пациентам следует рекомендовать избегать опасных видов деятельности, требующих полной умственной бдительности и координации движений, пока они не узнают, как эти агенты влияют на них, и уведомлять своего врача, если они испытывают чрезмерное или длительное воздействие на ЦНС, которое мешает их нормальной деятельности.","1. Ankier SI, Turner P, Warrington SJ ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7
                    2. Gilman AG, eds., Nies AS, Rall TW, Taylor P ""Goodman and Gilman's the Pharmacological Basis of Therapeutics."" New York, NY: Pergamon Press Inc. (1990):
                    3. ""Product Information. Fycompa (perampanel)."" Eisai Inc (2012):
                    4. ""Product Information. Rexulti (brexpiprazole)."" Otsuka American Pharmaceuticals Inc (2015):","Алкоголь может усилить побочные эффекты бромокриптина на нервную систему, такие как головокружение, сонливость и трудности с концентрацией внимания. Некоторые люди также могут испытывать нарушения в мышлении и суждениях. Вам следует избегать или ограничить употребление алкоголя во время лечения бромокриптином. Не принимайте бромокриптин в дозе, превышающей рекомендуемую, и избегайте занятий, требующих умственной активности, таких как вождение автомобиля или работа с опасными механизмами, пока не узнаете, как лекарство влияет на вас. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения.",yes,major,0003,drug-food
amlodipine,амлодипин,амлодипин,multivitamins with minerals,дәрумендер мен минералдар,поливитамины с минералами,Кальцийсодержащие продукты могут снижать эффективность блокаторов кальциевых каналов за счет насыщения кальциевых каналов кальцием. Хлорид кальция использовался для лечения острой тяжелой токсичности верапамила.,"1. Henry M, Kay MM, Viccellio P ""Cardiogenic shock associated with calcium-channel and beta blockers: reversal with intravenous calcium chloride."" Am J Emerg Med 3 (1985): 334-6
					2. Moller IW ""Cardiac arrest following intravenous verapamil combined with halothane anaesthesia."" Br J Anaesth 59 (1987): 522-6
					3. Klutman NE, Oszko MA ""Use of calcium salts during cardiopulmonary resuscitation for reversing verapamil-associated hypotension."" Clin Pharm 6 (1987): 448-9
					4. Hoon TJ, Parker RB, Schoen MD, et al. ""Evaluation of the pharmacokinetics and electrocardiographic effects of intravenous verapamil with intravenous calcium chloride pretreatment in normal subjects."" Am J Cardiol 67 (1991): 300-4
					5. Adams KF, Wohns DH, Patterson JH, Clarke S, Koch G, O'Quinn SV ""Influence of calcium on the hemodynamic and anti-ischemic effects of nifedipine observed during treadmill exercise testing."" Pharmacotherapy 10 (1990): 247
					6. Woie L, Storstein L ""Successful treatment of suicidal verapamil poisoning with calcium gluconate."" Eur Heart J 2 (1981): 239-42
					7. Goldschlager N, Morris DL ""Calcium infusion for reversal of adverse effects of intravenous verapamil."" JAMA 249 (1983): 3212-3
					8. Lichstein E, Greengart A, Hollander G, Shani J, Guadagnino V, Solar M ""Treatment of severe left ventricular dysfunction with calcium chloride in patients receiving verapamil."" J Clin Pharmacol 27 (1987): 407-9
					9. Huser B, Noll G, Sturmer T, Wenk M, Luscher TF ""Calcium gluconate in severe verapamil intoxication."" N Engl J Med 330 (1994): 718-20
					10. Gasiel Y, Bar-Or D ""Calcium and calciferol antagonise effect of verapamil in atrial fibrillation."" Br Med J (Clin Res Ed) 282 (1981): 1585-6
					11. Roos C, Dreosti L, Jardine I, Lipman J ""Intravenous calcium chloride as an antidote to verapamil-induced hypotension."" Intensive Care Med 8 (1982): 55-7
					12. McMillan R ""Management of acute severe verapamil intoxication."" J Emerg Med 6 (1988): 193-6
					13. Perkins CM ""Serious verapamil poisoning: treatment with intravenous calcium gluconate."" Br Med J 2 (1978): 1127
					14. Moroni F, Mannaioni PF, Ciaccheri M, Dolara A ""Calcium gluconate and hypertonic sodium chloride in a case of massive verapamil poisoning."" Clin Toxicol 17 (1980): 395-400","Применение амлодипина вместе с поливитаминами с минералами может уменьшить действие амлодипина. Проконсультируйтесь со своим врачом, прежде чем принимать амлодипин и поливитамины с минералами вместе. Возможно, вам потребуется коррекция дозы или более частое измерение артериального давления, если вы принимаете оба препарата.",yes,moderate,0004,drug-food
amlodipine,амлодипин,амлодипин,grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"Употребление грейпфрутового сока может незначительно повышать концентрацию амлодипина в плазме крови. Механизм заключается в ингибировании CYP4503A4-опосредованного метаболизма в стенке кишечника определенными соединениями, присутствующими в грейпфрутах. Данные противоречивы, и клиническое значение неизвестно. Рекомендуется мониторинг побочных эффектов блокаторов кальциевых каналов (например, головная боль, гипотензия, обморок, тахикардия, отеки).","1. Arnold JMO, Bailey DG, Spence JD ""Grapefruit juice and drugs - how significant is the interaction."" Clin Pharmacokinet 26 (1994): 91-8
					2. Ahlner J, Josefsson M, Zackrisson AL ""Effect of grapefruit juice on the pharmacokinetics of amlodipine in healthy volunteers."" Eur J Clin Pharmacol 51 (1996): 189-93
					3. Bailey DG, Malcolm J, Arnold O, Spence JD ""Grapefruit juice-drug interactions."" Br J Clin Pharmacol 46 (1998): 101-10
					4. Foulds G, Dogolo LC, Friedman HL, Harris SI, Willavize S, Vincent J ""Lack of effect of grapefruit juice on the pharmacokinetics and pharmacodynamics of amlodipine."" Br J Clin Pharmacol 50 (2000): 455-63
					5. Ahlner J, Josefsson M ""Amlodipine and grapefruit juice."" Br J Clin Pharmacol 53 (2002): 405; discussion 406
					6. Lipsky JJ, Kane GC ""Drug-grapefruit juice interactions."" Mayo Clin Proc 75 (2000): 933-42",Употребление грейпфрутового сока может незначительно усиливать действие амлодипина.,yes,minor,0005,drug-food
ampicillin,ампициллин,ампициллин,food,ас,пища,"Некоторые пенициллины могут снижать всасывание в желудочно-кишечном тракте в присутствии пищи. Терапевтический эффект противомикробного препарата может быть снижен. Поэтому следует применять их за час до или через два после еды.
                 	Бициллин V и амоксициллин не зависят от приема пищи и могут назначаться независимо от приема пищи.","1. Arnold JMO, Bailey DG, Spence JD ""Grapefruit juice and drugs - how significant is the interaction."" Clin Pharmacokinet 26 (1994): 91-8
					2. Ahlner J, Josefsson M, Zackrisson AL ""Effect of grapefruit juice on the pharmacokinetics of amlodipine in healthy volunteers."" Eur J Clin Pharmacol 51 (1996): 189-93
					3. Bailey DG, Malcolm J, Arnold O, Spence JD ""Grapefruit juice-drug interactions."" Br J Clin Pharmacol 46 (1998): 101-10
					4. Foulds G, Dogolo LC, Friedman HL, Harris SI, Willavize S, Vincent J ""Lack of effect of grapefruit juice on the pharmacokinetics and pharmacodynamics of amlodipine."" Br J Clin Pharmacol 50 (2000): 455-63
					5. Ahlner J, Josefsson M ""Amlodipine and grapefruit juice."" Br J Clin Pharmacol 53 (2002): 405; discussion 406
					6. Lipsky JJ, Kane GC ""Drug-grapefruit juice interactions."" Mayo Clin Proc 75 (2000): 933-42",У вас может наблюдаться снижение всасывания ампициллина в присутствии пищи. Эффективность антибиотика может быть снижена. Ампициллин следует вводить за час до или через два часа после еды. Это облегчит вашему организму усвоение лекарства. Бициллин V и амоксициллин не зависят от приема пищи и могут назначаться независимо от приема пищи.,yes,moderate,0006,drug-food
atorvastatine,аторвастатин,аторвастатин,alcohol,алкоголь,алкоголь,"Одновременное применение статинов со значительным количеством алкоголя может увеличить риск повреждения печени. Сообщалось о временном повышении уровня сывороточных трансаминаз при применении статинов, и хотя это повышение обычно проходит или улучшается при продолжении терапии или кратковременном перерыве в терапии, были редкие постмаркетинговые сообщения о фатальной и нефатальной печеночной недостаточности у пациентов, принимающих статины. Пациенты, употребляющие значительное количество алкоголя и/или имеющие в анамнезе заболевания печени, могут подвергаться повышенному риску повреждения печени. Активное заболевание печени или необъяснимое повышение уровня трансаминаз являются противопоказаниями к применению статинов.","1. Инструкция по медицинскому применению Аторвастатин (Ozon)
                    2. ""Product Information. Lipitor (atorvastatin)."" Parke-Davis (2001)","Аторвастатин может вызвать проблемы с печенью, и его применение с алкоголем может увеличить этот риск. Вам следует ограничить употребление алкоголя во время лечения этими препаратами. Немедленно обратитесь к врачу, если у вас высокая температура, озноб, боль в суставах или отек, необычное кровотечение или кровоподтеки, кожная сыпь, зуд, потеря аппетита, усталость, тошнота, рвота, боли в животе, темная моча, бледный стул и / или пожелтение кожи или глаз, поскольку это могут быть признаки и симптомы повреждения печени. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения.",yes,moderate,0007,drug-food
atorvastatine,аторвастатин,аторвастатин,grapefruit juice,грейпфрут шырыны,грейпфрутовый сок,"Одновременное применение с грейпфрутовым соком может повышать концентрацию аторвастатина в плазме крови. Предлагаемый механизм заключается в ингибировании CYP4503A4-опосредованного метаболизма в стенке кишечника определенными соединениями, присутствующими в грейпфруте.","1. Jacob BG, Schwandt P, Richter WO ""Interaction between fibre and lovastatin."" Lancet 338 (1991): 706
					2. McMillan K ""Considerations in the formulary selection of hydroxymethylglutaryl coenzyme a reductase inhibitors."" Am J Health Syst Pharm 53 (1996): 2206-14
					3. ""Product Information. Lipitor (atorvastatin)."" Parke-Davis (2001):
					4. Angerbauer R, Fey P, Karl W, Boberg M, Kanhai WK, Kern A, Ploschke J, Radtke M ""Metabolism of cerivastatin by human liver microsomes in vitro. Characterization of primary metabolic pathways and of cytochrome P45 isozymes involved."" Drug Metab Dispos 25 (1997): 321-31
					5. Bailey DG, Malcolm J, Arnold O, Spence JD ""Grapefruit juice-drug interactions."" Br J Clin Pharmacol 46 (1998): 101-10
					6. Neuvonen PJ, Lilja JJ, Kivisto KT ""Grapefruit juice increases serum concentrations of atorvastatin and has no effect on pravastatin."" Clin Pharmacol Ther 66 (1999): 118-27
					7. Backman JT, Niemi M, Neuvonen PJ ""Pharmacokinetic comparison of the potential over-the-counter statins simvastatin, lovastatin, fluvastatin and pravastatin."" Clin Pharmacokinet 47 (2008): 463-74","Грейпфрутовый сок может повышать уровень аторвастатина в крови. Это может увеличить риск побочных эффектов, таких как повреждение печени и редкое, но серьезное заболевание, называемое рабдомиолизом, которое включает разрушение скелетной мышечной ткани. В некоторых случаях рабдомиолиз может привести к повреждению почек и даже смерти. Вам следует ограничить потребление грейпфрутового сока не более чем 1 литром в день во время лечения аторвастатином. Немедленно сообщите своему врачу, если у вас возникнут необъяснимые мышечные боли, болезненность или слабость во время лечения, особенно если эти симптомы сопровождаются лихорадкой или мочой темного цвета.",yes,moderate,0008,drug-food
acetylsalicylic acid,ацетилсалицил қышқылы,ацетилсалициловая кислота,alcohol,алкоголь,алкоголь,"Одновременное применение аспирина или нестероидных противовоспалительных препаратов (НПВП) и этанола может привести к желудочно-кишечной (желудочно-кишечной) кровопотере. Механизм может быть обусловлен комбинированным местным эффектом, а также ингибированием простагландинов, приводящим к снижению целостности слизистой оболочки желудочно-кишечного тракта. Пациентов следует проинформировать об этом потенциальном взаимодействии и рекомендовать воздерживаться от употребления алкоголя во время приема аспирина или НПВП.","1. ""Product Information. Motrin (ibuprofen)."" Pharmacia and Upjohn (2002):","Проконсультируйтесь со своим врачом, прежде чем принимать аспирин вместе с этанолом. Не употребляйте алкоголь во время приема аспирина. Алкоголь может увеличить риск желудочного кровотечения, вызванного приемом аспирина. Если у вас появились симптомы кровотечения в желудке или кишечнике, немедленно обратитесь к врачу. Это включает в себя черный, кровавый или смолистый стул, а также кашель с кровью или рвотой.",yes,moderate,0009,drug-food
acetylsalicylic acid,ацетилсалицил қышқылы,ацетилсалициловая кислота,caffeine,кофеин,кофеин,Одновременный прием аспирина и кофеина может привести к более быстрому повышению уровня салицилатов.,"1. ""Product Information. Motrin (ibuprofen)."" Pharmacia and Upjohn (2002):","Проконсультируйтесь со своим врачом, прежде чем принимать аспирин вместе с кофеином. Одновременный прием аспирина и кофеина может привести к более повышению уровня салицилатов в крови и усилить побочные действия аспирина.",yes,minor,0010,drug-food
